014.4;DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS;Incluem-se documentos referentes aos resultados finais da eleição realizada e à divulgação dos candidatos eleitos, bem como aqueles referentes aos recursos impetrados.
015;GESTÃO INSTITUCIONAL;Nas subdivisões deste descritor classificam-se documentos referentes ao planejamento, ao acompanhamento e à avaliação das atividades do órgão e entidade.
015.1;PLANEJAMENTO INSTITUCIONAL;Incluem-se documentos referentes ao planejamento, às ações e aos programas e projetos de trabalho do órgão e entidade, tais como: planejamento plurianual, planejamento estratégico, plano de desenvolvimento institucional, plano de metas e definição de indicadores de desempenho.
015.2;ACOMPANHAMENTO DAS ATIVIDADES;Incluem-se documentos referentes aos registros das atividades desempenhadas pelo órgão e entidade, tais como: relatórios parciais (mensal, trimestral ou semestral), relatório anual e relatório de gestão.
015.3;AVALIAÇÃO DA GESTÃO INSTITUCIONAL;Nas subdivisões deste descritor classificam-se documentos referentes às ações de autoavaliação, para verificação do desempenho do órgão e entidade, visando o controle da qualidade e a melhoria na prestação do serviço público.
015.31;ELABORAÇÃO DOS INSTRUMENTOS DE AVALIAÇÃO;Incluem-se documentos referentes ao planejamento das atividades de avaliação e aos programas e projetos de implementação do controle da qualidade da gestão do órgão e entidade, tais como: definição de indicadores e de instrumentos para avaliação dos aspectos gerenciais, diagnósticos e cronogramas.
015.32;EXECUÇÃO E ACOMPANHAMENTO;Incluem-se documentos referentes à implementação das atividades de avaliação e controle da qualidade da gestão institucional, bem como aqueles referentes à análise crítica e à verificação da compatibilidade entre o planejamento e os resultados obtidos na apuração das metas institucionais.
015.33;CERTIFICAÇÃO DA CONFORMIDADE;Incluem-se documentos referentes à certificação da conformidade, às propostas de ações corretivas e preventivas e ao tratamento da não conformidade, bem como relatórios estatísticos, demonstrativos de resultados, certifica dos e premiações.
016;GESTÃO DE PROCESSOS;Nas subdivisões deste descritor classificam-se documentos referentes às etapas que envolvem planejamento, análise, mapeamento, desenho e modelagem de processos institucionais e ao gerenciamento de desempenho.
016.1;PLANEJAMENTO DO MAPEAMENTO DE PROCESSOS;Incluem-se documentos referentes ao planejamento do mapeamento de processos institucionais, tais como: identificação de objetivos e de ferramentas a serem utilizadas e cronograma de atividades.
016.2;EXECUÇÃO E ACOMPANHAMENTO;Incluem-se documentos referentes ao desenvolvimento do mapeamento de processos institucionais e à coleta de dados.
016.3;RESULTADO;Incluem-se documentos referentes aos resultados do mapeamento de processos institucionais, tais como: diagnósticos, fluxogramas e relatórios.
016.4;MODELAGEM DE PROCESSOS;Incluem-se documentos referentes à definição de especificações para a modelagem de processos novos ou modificados.
016.5;GERENCIAMENTO DE DESEMPENHO;Incluem-se documentos referentes à medição e monitoramento de processos e propostas de ações corretivas ou preventivas, tais como: questionários, avaliações, propostas, análises e laudos.
017;GESTÃO AMBIENTAL;Nas subdivisões deste descritor classificam-se documentos referentes à gestão ambiental, visando à utilização racional e sustentável dos recursos naturais, envolvendo o uso de práticas e o desenvolvimento de hábitos que garantam a proteção, conservação e preservação da biodiversidade, a reciclagem das matérias-primas e a redução do impacto ambiental.
017.1;PROTEÇÃO AMBIENTAL INTERNA;Incluem-se documentos referentes aos procedimentos de controle e preservação do ambiente de trabalho que envolve a conscientização dos servidores, tais como: campanhas de conscientização para redução do consumo de água e energia elétrica e programas de coleta seletiva solidária e reciclagem de resíduos descartáveis, bem como a produção de material de divulgação. Quanto ao controle de riscos ambientais, classificar no código 025.21. Quanto ao recolhimento de material inservível e de sucatas ao depósito, classificar no código 032.3.
017.2;PROTEÇÃO AMBIENTAL EXTERNA;Incluem-se documentos referentes aos procedimentos de controle e preservação ambiental externa que envolve a coleta seletiva solidária, a reciclagem de resíduos descartáveis e o uso de fontes não poluentes, tais como: projetos, questionários, avaliações, análises, laudos, relatórios estatísticos e de destinação de resíduos. Quanto à alienação definitiva, por desfazimento, de material permanente e de consumo em razão de serem considerados inservíveis e irrecuperáveis, classificar nos códigos 033.41 e 033.42, respectivamente.
018;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS;Incluem-se documentos referentes à contratação de empresas terceirizadas para a realização de serviços fotográficos e filmográficos de publicidade e de produção de clipagens eletrônicas, para a implementação de concurso público e de consultoria para mapeamento e modelagem de processos a serem prestados sob o regime de execução indireta, tais como: planejamento da contratação (estudos preliminares, gerenciamento de riscos e termo de referência ou projeto básico), divulgação (publicação de editais), seleção do fornecedor (adjudicação, homologação, formalização e publicação do contrato), indicação e designação do gestor e dos fiscais da execução do contrato para acompanhamento, fiscalização (técnica, administrativa, setorial e pelo público usuário), avaliação e aferição dos resultados previstos na contratação e demais documentos comprobatórios da prestação dos serviços, relatórios, notas fiscais e faturas. Nota: A contratação de prestação de serviços poderá ocorrer nas modalidades de licitação (convite, tomada de preços, concorrência, leilão, concurso e pregão), dispensa de licitação e inexigibilidade de licitação.
019;OUTRAS AÇÕES REFERENTES À ORGANIZAÇÃO E FUNCIONAMENTO;Nas subdivisões deste descritor classificam-se documentos referentes a outras ações de organização e funcionamento não contempladas nos descritores anteriores.
019.1;COMUNICAÇÃO SOCIAL;Nas subdivisões deste descritor classificam-se documentos referentes às atividades de comunicação social nos âmbitos externo (comunicação externa) e interno (comunicação interna), compreendendo a escolha e os usos de mídias empregadas.
019.11;COMUNICAÇÃO EXTERNA;Nas subdivisões deste descritor classificam-se documentos referentes ao credenciamento de jornalistas, entrevistas, noticiários, reportagens e editoriais. Quanto ao assessoramento de cerimonial para a realização de solenidades oficiais e eventos do órgão e entidade, classificar nas subdivisões do código 910.
019.111;CREDENCIAMENTO DE JORNALISTAS;Incluem-se documentos referentes ao credenciamento de jornalistas, tais como: normas de credenciamento, formulários e credenciais.
019.112;RELAÇÃO COM A IMPRENSA;Incluem-se documentos referentes à releases para publicação, mensagens, entrevistas, noticiários, reportagens e editoriais.
019.113;ELABORAÇÃO DE CAMPANHAS PUBLICITÁRIAS;Incluem-se documentos referentes às campanhas institucionais, filmes, propagandas e à produção de material de divulgação do órgão e entidade.
019.12;COMUNICAÇÃO INTERNA;Incluem-se documentos referentes à divulgação para o público interno de notícias publicadas que envolvem o órgão e entidade ou sobre assuntos afins à sua missão, tais como: clipagem de notícias veiculadas em jornais, em revistas e em sites de comunicação e divulgação de avisos, comunicados, boletins e informativos.
019.2;AÇÃO DE RESPONSABILIDADE SOCIAL;Incluem-se documentos referentes à participação em ações de incentivo ao esporte, à cultura e à educação, com possibilidade de dedução de imposto de renda, conforme especificado em legislação. Quanto à realização de ações de concessão de patrocínio a projetos esportivos e culturais, classificar no código específico.
020;GESTÃO DE PESSOAS;Esta subclasse contempla documentos referentes aos direitos e obrigações dos servidores e empregados públicos, dos servidores temporários, dos residentes (aqueles inscritos nas residências médica, multiprofissional em saúde, pedagógica e jurídica, entre outras), dos estagiários, dos ocupantes de cargo comissionado e de função de confiança sem vínculo, lotados no órgão e entidade, bem como aqueles referentes aos direitos e obrigações do empregador.
020.01;NORMATIZAÇÃO. REGULAMENTAÇÃO;Incluem-se documentos referentes às determinações legais, aos atos e instruções normativas, aos procedimentos operacionais e às decisões de caráter geral sobre a gestão de pessoas do órgão e entidade, bem como os boletins de pessoal. Quanto aos boletins administrativos e de serviço, classificar no código 010.01. Quanto à publicação de matérias em diários oficiais e em periódicos de grande circulação, classificar no código 069.3.
020.02;IMPLEMENTAÇÃO DAS POLÍTICAS DE PESSOAL;Nas subdivisões deste descritor classificam-se documentos referentes ao planejamento, desenvolvimento e implantação das políticas de pessoal.
020.021;PLANEJAMENTO DA FORÇA DE TRABALHO. PREVISÃO DE PESSOAL;Incluem-se documentos referentes ao levantamento das habilidades e especificações necessárias para o exercício das funções e atividades rotineiras e eventuais, visando subsidiar a previsão de pessoal, definindo qualificação e quantitativo.
020.022;CRIAÇÃO, EXTINÇÃO, CLASSIFICAÇÃO, TRANSFORMAÇÃO E TRANSPOSIÇÃO DE CARGOS E DE CARREIRAS;Incluem-se documentos referentes à criação, transformação e reestruturação de cargos, carreiras e remuneração dos servidores da administração pública. Quanto à reestruturação e alteração salarial, classificar no código 023.12.
020.03;RELACIONAMENTO COM ENTIDADES REPRESENTATIVAS DE CLASSE;Nas subdivisões deste descritor classificam-se documentos referentes às negociações que envolvem servidores, sindicatos e empregados, bem como aqueles referentes ao relacionamento do órgão e entidade com os conselhos profissionais.
020.031;RELAÇÃO COM SINDICATOS;Incluem-se documentos referentes aos acordos, convenções e dissídios coletivos estabelecidos nas negociações que envolvem servidores, sindicatos e empregadores. Quanto à contribuição sindical, assistencial e confederativa do servidor, classificar no código 023.171. Quanto à contribuição sindical do empregador, classificar no código 023.183.
020.032;MOVIMENTOS REIVINDICATÓRIOS. GREVES. PARALISAÇÕES;Incluem-se documentos referentes à notificação da greve, por parte dos grevistas, ao órgão e entidade, bem como aqueles referentes aos acordos e respectivas compensações por parte dos servidores sobre o desconto dos dias parados.
020.033;RELAÇÃO COM CONSELHOS PROFISSIONAIS;Incluem-se documentos referentes ao relacionamento com os conselhos profissionais, tais como: fiscalização do órgão e entidade pelos conselhos profissionais e comprovantes de pagamento da anuidade.
020.1;ASSENTAMENTO FUNCIONAL;Nas subdivisões deste descritor classificam-se documentos referentes à vida funcional dos servidores e empregados públicos, dos servidores temporários, dos residentes (aqueles inscritos nas residências médica, multiprofissional em saúde, pedagógica e jurídica, entre outras), dos estagiários, dos ocupantes de cargo comissionado e de função de confiança sem vínculo, bem como os registros e as anotações dos atos da administração pública a que tiveram direito ou lhe foram impostos como deveres.
020.11;SERVIDORES E EMPREGADOS PÚBLICOS;Incluem-se documentos referentes à vida funcional dos servidores estatutários ativos (ou seja, ocupantes de cargos públicos) e inativos e dos empregados públicos (ou seja, ocupantes de empregos públicos) que são contratados e submetidos ao regime da legislação trabalhista.
020.12;SERVIDORES TEMPORÁRIOS;Incluem-se documentos referentes à vida funcional dos servidores que são contratados por tempo determinado, em caráter excepcional para atender uma eventual necessidade de interesse público, sem que estejam vinculados a cargo ou emprego públicos. Quanto à contratação de pessoas físicas (autônomos e colaboradores), classificar no código 029.5.
020.13;RESIDENTES E ESTAGIÁRIOS;Incluem-se documentos referentes à vida funcional dos residentes e dos estagiários.
020.14;OCUPANTES DE CARGO COMISSIONADO E DE FUNÇÃO DE CONFIANÇA;Incluem-se documentos referentes à vida funcional dos ocupantes de cargo comissionado e de função de confiança sem vínculo.
020.2;IDENTIFICAÇÃO FUNCIONAL;Incluem-se documentos referentes à requisição e ao controle de entrega de documentos de identificação funcional, tais como: carteira, cartão, identidade, crachá, credencial, passaporte de serviço ou diplomático.
021;RECRUTAMENTO E SELEÇÃO;Nas subdivisões deste descritor classificam-se documentos referentes aos procedimentos desenvolvidos para a realização de concursos públicos para o provimento de cargos públicos, empregos públicos e contratação por tempo determinado.
021.1;PLANEJAMENTO DO PROCESSO SELETIVO;Incluem-se estudos, propostas, constituição de bancas examinadoras, programas, editais, exemplares únicos de provas, gabaritos e critérios para correção de provas e para solicitação de recursos.
021.2;INSCRIÇÃO;Incluem-se documentos exigidos no edital para a homologação da inscrição e fichas de inscrição.
021.3;CONTROLE DE APLICAÇÃO DE PROVAS;Incluem-se documentos referentes ao controle de aplicação das provas, de acordo com os requisitos estipulados no edital.
021.4;CORREÇÃO DE PROVAS. AVALIAÇÃO;Incluem-se cadernos de prova utilizados pelos candidatos, folhas de resposta, provas de títulos, avaliação psicológica, testes psicotécnicos, exames médicos e de aptidão física. Quanto às provas de títulos, avaliação psicológica, testes psicotécnicos, exames médicos e de aptidão física dos candidatos que vierem a ser nomeados, classificar nas subdivisões do código 020.1.
021.5;DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS;Incluem-se documentos referentes aos resultados finais das provas realizadas, a classificação e a reclassificação dos candidatos, bem como aqueles referentes aos recursos impetrados em qualquer uma das fases do concurso.
022;PROVIMENTO, MOVIMENTAÇÃO E VACÂNCIA;Nas subdivisões deste descritor classificam-se documentos referentes aos procedimentos que efetivam as ações e as formas de ingresso, movimentação e desligamento na administração pública, bem como aqueles referentes às avaliações de desempenho dos servidores. Quanto aos atos específicos e individuais que deverão integrar o assentamento funcional, classificar nas subdivisões do código 020.1.
022.1;PROVIMENTO DE CARGO PÚBLICO;Incluem-se documentos referentes aos procedimentos que efetivam as ações de admissão, contratação, nomeação, designação, posse, disponibilidade, aproveitamento, readmissão, readaptação, recondução, reintegração, reversão e promoção.
022.2;MOVIMENTAÇÃO DE PESSOAL;Nas subdivisões deste descritor classificam-se documentos referentes aos procedimentos que efetivam as ações de lotação, exercício, permuta, cessão e requisição.
022.21;LOTAÇÃO, EXERCÍCIO E PERMUTA;Incluem-se documentos referentes aos procedimentos que efetivam as ações de lotação, exercício e permuta, bem como aqueles referentes à transferência.
022.22;CESSÃO. REQUISIÇÃO;Incluem-se documentos referentes aos procedimentos que efetivam as ações de cessão e requisição para a realização de serviços temporários em outro órgão e entidade.
022.3;REMOÇÃO;Incluem-se documentos referentes aos procedimentos que efetivam as ações de remoção.
022.4;REDISTRIBUIÇÃO;Incluem-se documentos referentes aos procedimentos que efetivam as ações de redistribuição
022.5;SUBSTITUIÇÃO;Incluem-se documentos referentes aos procedimentos que efetivam as ações de substituição.
022.6;AVALIAÇÃO DE DESEMPENHO;Nas subdivisões deste descritor classificam-se documentos referentes ao cumprimento do estágio obrigatório pelo servidor público, à homologação de sua estabilidade e ao período de experiência a ser cumprido pelos contratados, bem como aqueles referentes às promoções e progressões funcionais.
022.61;CUMPRIMENTO DE ESTÁGIO PROBATÓRIO. HOMOLOGAÇÃO DA ESTABILIDADE;Incluem-se documentos referentes ao cumprimento e à avaliação do estágio probatório e à homologação da estabilidade do servidor público.
022.62;CUMPRIMENTO DO PERÍODO DE EXPERIÊNCIA;Incluem-se documentos referentes ao período de experiência a ser cumprido pelos contratados.
022.63;PROMOÇÃO E PROGRESSÃO FUNCIONAL;Incluem-se documentos referentes às avaliações de desempenho para promoção e progressão funcional dos servidores. Quanto à reestruturação e alteração salarial decorrentes de promoção e progressão funcional, classificar no código 023.12.
022.7;VACÂNCIA;Incluem-se documentos referentes aos procedimentos que efetivam as ações de demissão, dispensa, exoneração, rescisão contratual, aviso prévio, posse em outro cargo não acumulável, promoção, readaptação, aposentadoria e falecimento, bem como aqueles referentes à adesão aos planos de demissão voluntária.
023;CONCESSÃO DE DIREITOS E VANTAGENS;Nas subdivisões deste descritor classificam-se documentos referentes à percepção de pagamento de vencimentos, remunerações, salários e proventos e ao gozo de férias, licenças, afastamentos, concessões, auxílios e reembolso de despesas, bem como aqueles referentes aos descontos, obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos.
023.1;PAGAMENTO DE VENCIMENTOS. REMUNERAÇÕES. SALÁRIOS. PROVENTOS;Nas subdivisões deste descritor classificam-se documentos referentes aos procedimentos que efetivam as ações de percepção de pagamento.
023.11;FOLHAS DE PAGAMENTO;Incluem-se folhas de pagamento, fichas financeiras e relação de pagamentos.
023.12;REESTRUTURAÇÃO E ALTERAÇÃO SALARIAL;Incluem-se documentos referentes a reestruturações e alterações salariais decorrentes de promoção e progressão funcional, enquadramento, equiparação, reajuste e reposição salarial, bem como aqueles decorrentes da redução de jornada de trabalho, remuneração proporcional, regime de trabalho integral e dedicação exclusiva. Quanto à criação, transformação e reestruturação de cargos, carreiras e remuneração, classificar no código 020.022. Quanto às avaliações de desempenho para promoção e progressão funcional, classificar no código 022.63.
023.13;ABONO PROVISÓRIO;Incluem-se documentos referentes à comprovação do direito, à solicitação e ao pagamento de acréscimo financeiro provisório na remuneração.
023.14;ABONO DE PERMANÊNCIA EM SERVIÇO;Incluem-se documentos referentes ao reembolso da contribuição previdenciária ao servidor público, que cumpriu os requisitos para aposentadoria, mas que optou por continuar na ativa. Quanto à contagem e averbação de tempo de serviço, classificar no código 026.02.
023.15;GRATIFICAÇÕES;Nas subdivisões deste descritor classificam-se os documentos referentes à solicitação, comprovação do direito, incorporação, pagamento e interrupção do pagamento das gratificações concedidas.
023.151;FUNÇÃO;Incluem-se documentos referentes à solicitação, comprovação do direito, incorporação de quintos e décimos, pagamento e interrupção do pagamento da gratificação.
023.152;JETONS;Incluem-se documentos referentes à solicitação, comprovação do direito, incorporação, pagamento e interrupção do pagamento da gratificação.
023.153;CARGOS EM COMISSÃO;Incluem-se documentos referentes à solicitação, comprovação do direito, incorporação, pagamento e interrupção do pagamento da gratificação.
023.154;NATALINA. DÉCIMO TERCEIRO SALÁRIO;Incluem-se documentos referentes ao pagamento e adiantamento da gratificação.
023.155;DESEMPENHO;Incluem-se documentos referentes às gratificações por desempenho de atividade, qualificação e produtividade, bem como aqueles referentes à solicitação de inclusão e ao cancelamento do pagamento da gratificação.
023.156;ENCARGO DE CURSO E CONCURSO;Incluem-se documentos referentes à solicitação e pagamento da gratificação por encargo de curso ministrado, bem como aqueles referentes à participação em bancas examinadoras e de fiscalização e aplicação de provas em concursos.
023.157;TITULAÇÃO;Incluem-se documentos referentes à solicitação, comprovação do direito, incorporação e pagamento da retribuição por titulação, obtida pela conclusão de cursos de especialização, mestrado e doutorado.
023.16;ADICIONAIS;Nas subdivisões deste descritor classificam-se documentos referentes à solicitação, comprovação do direito, pagamento e interrupção do pagamento dos adicionais concedidos.
023.161;TEMPO DE SERVIÇO;Incluem-se documentos referentes ao acréscimo financeiro sobre a remuneração em razão do cumprimento de cada ano de serviço público efetivo, tais como: anuênios, biênios e quinquênios.
023.162;NOTURNO;Incluem-se documentos referentes ao acréscimo financeiro na remuneração em razão de trabalho noturno.
023.163;PERICULOSIDADE;Incluem-se documentos referentes ao acréscimo financeiro na remuneração em razão do trabalho ser executado em condições perigosas.
023.164;INSALUBRIDADE;Incluem-se documentos referentes ao acréscimo financeiro na remuneração em razão do trabalho ser executado em ambiente exposto a agentes físicos, químicos ou biológicos que sejam nocivos à saúde.
023.165;ATIVIDADE PENOSA;Incluem-se documentos referentes ao acréscimo financeiro na remuneração em razão do trabalho debilitar gradativamente a saúde física e mental.
023.166;SERVIÇO EXTRAORDINÁRIO. HORAS EXTRAS;Incluem-se documentos referentes ao acréscimo financeiro na remuneração em razão do trabalho a ser executado além do número de horas estipuladas na jornada de trabalho.
023.167;UM TERÇO DE FÉRIAS. ABONO PECUNIÁRIO;Incluem-se documentos referentes ao acréscimo financeiro na remuneração de um terço do seu valor no mês de férias, bem como aqueles referentes à conversão de um terço dos dias de férias em pecúnia. Quanto ao afastamento para gozo de férias, classificar no código 023.2.
023.17;DESCONTOS;Nas subdivisões deste descritor classificam-se documentos referentes aos descontos que incidem na remuneração do servidor.
